trace_nb;log2(key_rank);correct_bytes
10;122.083425;0
15;125.1552319;0
20;126.2164978;0
25;126.3386503;0
30;124.8124583;0
35;123.7592616;0
40;122.1154339;0
45;120.5915033;0
50;123.7869111;0
55;123.2021416;0
60;122.9280633;0
65;123.2201755;0
70;120.8265943;0
75;121.050196;0
80;120.3769815;0
85;120.3092829;0
90;118.7876443;0
95;118.2575474;0
100;118.3590228;0
105;119.1487024;0
110;119.8230034;0
115;118.7608184;0
120;119.2904299;0
125;119.9910463;0
130;119.6094819;0
135;119.1512998;0
140;118.6791726;0
145;117.3862386;0
150;116.4520567;0
155;116.0840985;0
160;115.7601116;0
165;115.4300748;0
170;114.9731367;0
175;115.2935553;0
180;115.0644302;0
185;114.763119;0
190;114.131437;0
195;113.5377101;0
200;113.42084;0
205;113.0116229;0
210;112.4553003;1
215;111.8457673;1
220;111.2718523;1
225;111.5210867;0
230;111.3531602;0
235;110.3206378;0
240;109.3002761;0
245;109.0178144;0
250;109.1732316;0
255;108.1946225;1
260;107.0318604;1
265;106.6949368;1
270;105.7188206;1
275;106.1852734;1
280;106.2171515;1
285;105.6140391;1
290;106.970533;1
295;106.3763903;1
300;105.4963231;1
305;106.2829716;1
310;106.0602825;1
315;106.0192246;1
320;106.3506844;1
325;105.6064227;1
330;105.4179049;1
335;103.049825;1
340;101.7448492;0
345;100.5769535;0
350;100.4094036;0
355;100.2844869;0
360;100.2203252;0
365;99.30787153;0
370;98.58151741;0
375;97.82835254;0
380;98.45042504;0
385;97.34767752;0
390;96.63143722;0
395;96.65765533;0
400;96.04090061;0
405;95.8526168;0
410;96.35715064;0
415;96.26526018;0
420;96.48765371;0
425;96.81759838;0
430;96.68325335;0
435;95.89687138;0
440;94.11797446;0
445;92.99500243;0
450;92.11710963;0
455;91.79333645;0
460;91.7596399;0
465;92.9056351;0
470;92.98260339;0
475;93.06460305;0
480;92.05712875;0
485;92.619695;0
490;91.95641486;0
495;90.54219719;0
500;91.3232381;0
525;90.77649131;0
550;88.62891353;0
575;86.01282485;0
600;85.64455372;1
625;83.60674134;1
650;81.94456634;2
675;82.21664002;1
700;82.16749086;1
725;79.83929505;0
750;78.01654894;1
775;77.45471912;1
800;75.50962654;1
825;74.36777765;1
850;75.27368841;1
875;74.91385002;1
900;75.87073128;1
925;76.34275375;1
950;77.18337563;1
975;77.95181695;1
1000;78.15127697;1
1050;78.11925224;1
1100;77.79252207;1
1150;76.95579037;1
1200;74.09982281;1
1250;74.32068391;1
1300;76.17027163;1
1350;75.4463428;1
1400;71.58001359;1
1450;70.82866877;1
1500;68.14247732;1
1550;67.95644438;1
1600;64.9038206;1
1650;64.31012619;1
1700;61.94930507;0
1750;61.77931236;0
1800;63.60568011;0
1850;64.26106855;0
1900;63.35209743;0
1950;62.78727144;0
2000;61.97962465;0
2100;59.81334454;1
2200;58.31087519;1
2300;57.51889609;1
2400;57.31084175;1
2500;57.23458755;1
2600;56.89649785;1
2700;54.48355981;1
2800;55.50434752;2
2900;53.14643663;2
3000;51.09287013;2
3100;48.88289024;2
3200;47.66714549;2
3300;48.2633112;2
3400;46.08872724;3
3500;45.65123336;1
3600;46.12765791;2
3700;45.2650457;1
3800;46.44107703;2
3900;44.81712655;3
4000;45.94489826;3
4100;46.14727966;3
4200;43.62164507;3
4300;41.85389737;2
4400;40.70131185;5
4500;40.34535797;4
4600;39.47324304;4
4700;40.57855562;4
4800;40.57429027;3
4900;41.01082615;3
5000;40.51382455;3
5100;40.33723035;3
5200;39.10045103;3
5300;39.60165968;3
5400;39.5068604;2
5500;38.65351402;1
5600;39.55830094;0
5700;38.65980639;1
5800;38.48095118;1
5900;40.15703705;0
6000;37.94550879;2
6100;37.31971763;0
6200;38.10010381;3
6300;38.74549917;1
6400;38.07928598;1
6500;39.34931536;1
6600;39.44867226;0
6700;39.99971694;1
6800;39.79444583;1
6900;40.32119534;1
7000;40.06008954;1
7100;40.51349382;1
7200;40.00226479;1
7300;39.2857267;0
7400;38.7532981;0
7500;38.72242189;0
7600;38.13944551;0
7700;37.35377413;1
7800;36.95151069;1
7900;35.36142524;0
8000;36.35688115;0
8100;34.83011486;1
8200;34.19750895;1
8300;34.92351718;2
8400;34.57210108;2
8500;33.96542008;2
8600;33.77964191;2
8700;34.26046446;2
8800;34.58558533;2
8900;33.23497472;2
9000;32.44416646;2
9100;33.71984245;3
9200;32.53040093;3
9300;31.93778385;3
9400;32.21412432;3
9500;31.64133099;2
9600;30.90868498;2
9700;32.69654219;3
9800;31.84155512;3
9900;33.29175469;3
10000;33.43193245;3
10100;31.85872483;3
10200;32.8288061;3
10300;32.8484474;3
10400;34.18800361;3
10500;34.38886466;3
10600;33.69664926;3
10700;32.95929994;3
10800;32.19321982;3
10900;34.00471474;3
11000;33.07903538;3
11100;32.95089346;3
11200;33.77610261;3
11300;33.18349465;3
11400;33.28911838;3
11500;33.15933167;4
11600;32.80087227;4
11700;31.92207147;4
11800;34.05420839;4
11900;33.87693982;3
12000;33.88177809;3
12100;32.34712935;4
12200;33.66536665;3
12300;32.53669736;3
12400;32.59146962;3
12500;32.11573528;3
12600;31.97959072;3
12700;33.3389659;3
12800;33.11019633;5
12900;33.61815882;2
13000;33.51520933;3
13100;33.22172834;5
13200;33.06590491;4
13300;33.45004629;4
13400;33.08055723;5
13500;33.23683392;4
13600;33.10863381;4
13700;32.61753143;4
13800;32.74307746;4
13900;32.70105451;3
14000;33.89364266;4
14100;33.36696433;4
14200;33.7299992;4
14300;33.61544552;4
14400;34.62672376;4
14500;34.04178842;3
14600;34.4024346;3
14700;34.47620125;3
14800;34.80086427;3
14900;35.51230948;3
15000;34.63759713;3
15100;34.93547094;4
15200;34.82898948;3
15300;35.36396185;3
15400;34.42961529;3
15500;35.07171198;3
15600;34.8516685;3
15700;34.37114654;4
15800;35.14368002;3
15900;34.3901486;3
